category,goods_name,jpPrice,jporgPrice,referencePrice
化妝品,COCOCHI日本AG抗糖面膜珍珠提亮保湿抗氧淡化色斑贴片面膜【白色款】5片装,"2,758JPY","2,758JPY",(約140.93CNY)
化妝品,SUNCUT 防曬乳 輕盈水感,980JPY,980JPY,(約50.08CNY)
化妝品,DHC 經典款深層潔淨卸妝油150ml,"2,180JPY","2,180JPY",(約111.4CNY)
化妝品,ROHTO製藥 MelanoCC 藥用抗皺美白化妝水,"1,080JPY","1,080JPY",(約55.19CNY)
化妝品,DHC蝶翠诗 纯橄榄油芦荟精华浓厚保湿滋润防裂护手霜 无香料 50g,598JPY,598JPY,(約30.56CNY)
化妝品,suisai 酵素潔膚粉 (小包),"1,100JPY","1,300JPY",(約56.21CNY)
化妝品,chufudi 沖繩海泥面膜 20g×6袋,"2,000JPY","2,000JPY",(約102.2CNY)
化妝品,ROSETTE露姬婷 海泥淡痘深層潔淨洗面奶 120g,510JPY,510JPY,(約26.06CNY)
化妝品,LoveLiner 液體眼線筆 純黑色,"1,760JPY","1,760JPY",(約89.94CNY)
化妝品,KOSE高丝日本进口辅酶Q10细致透白保湿滋润防裂清爽补水护手霜【夜间修护型】80g,598JPY,598JPY,(約30.56CNY)
化妝品,【数量限定，买珂润送唐企鹅限定娃娃】Curel 珂润初秋补水超值套装，更附赠唐企鹅限定娃娃,"4,500JPY","4,526JPY",(約229.95CNY)
化妝品,植村秀 睫毛夾,"1,630JPY","1,630JPY",(約83.29CNY)
化妝品,ROSETTE 去角質凝露 120g,660JPY,660JPY,(約33.73CNY)
化妝品,ROSETTE 海泥洗面乳 粉色款 120g,558JPY,558JPY,(約28.51CNY)
化妝品,花王 珂潤冬季滋潤超值套裝,"4,380JPY","4,380JPY",(約223.82CNY)
化妝品,MSH LoveLiner 液体眼线笔 深棕色 0.55ml,"1,800JPY","1,800JPY",(約91.98CNY)
化妝品,SK-Ⅱ 溫和潔面補水氨基酸洗面奶 120g,"8,500JPY","8,500JPY",(約434.35CNY)
化妝品,CLEAR TURN Premium清新面膜 (緊緻明亮) 3片裝,768JPY,768JPY,(約39.24CNY)
化妝品,資生堂 AQUA LABEL 水之印抗老系列水 滋潤型 200ml,"1,780JPY","1,780JPY",(約90.96CNY)
化妝品,KAO花王Liese泡沫染发剂纯植物天然泡泡自己在家染发膏【皇室高贵棕色】(黑发用)108g,830JPY,830JPY,(約42.41CNY)
化妝品,BISON 佰松 爆汗汤入浴剂 草莓苏打香 60g,199JPY,268JPY,(約10.17CNY)
化妝品,Deonatulle 足部除臭止汗乳霜,"1,180JPY","1,180JPY",(約60.3CNY)
